Budget,Platform,AudienceSize,Duration,EstimatedRevenue,Success
960,Google,81224,21,3171.12,1
3872,Instagram,24457,39,4909.19,0
3192,Instagram,71572,44,7864.67,1
566,LinkedIn,30960,26,1479.04,1
4526,TikTok,88695,33,7284.1,1
3544,Google,8910,14,7439.58,1
3271,LinkedIn,3693,22,7376.69,1
3019,Google,16858,39,4420.87,0
230,TikTok,29810,20,662.44,1
1785,Instagram,21092,11,2510.26,0
869,Facebook,89779,34,4107.05,1
2491,Google,49700,23,6727.63,1
2533,Instagram,59105,27,5141.88,1
1284,Google,31505,12,2476.25,1
4655,Google,74228,21,6968.01,0
3485,Google,29555,25,6436.97,1
4217,TikTok,72934,30,4978.2,0
4943,LinkedIn,73788,32,15043.2,1
3004,Google,78257,43,8530.46,1
574,TikTok,18939,37,1383.03,1
1182,Facebook,12825,44,3049.51,1
2658,LinkedIn,91787,23,6595.09,1
2147,TikTok,25151,33,2824.36,0
2847,Facebook,1036,24,6883.16,1
1075,LinkedIn,94948,24,3633.9,1
1906,TikTok,84707,14,7783.23,1
289,Facebook,40051,16,2456.4,1
2834,TikTok,99297,37,9093.62,1
3105,Facebook,81738,29,10485.76,1
4758,Google,74596,29,6630.52,0
1999,Google,61071,8,5200.17,1
1367,LinkedIn,74601,8,3250.66,1
1628,Facebook,30873,13,3711.65,1
3302,Google,37648,19,6285.3,1
3656,LinkedIn,72468,30,8326.32,1
3990,Instagram,27470,19,8851.43,1
746,Google,66129,30,2612.44,1
2988,Google,9328,32,6741.27,1
2535,TikTok,7333,11,5839.32,1
700,Instagram,47638,36,3320.36,1
2463,Facebook,12268,16,6282.25,1
2161,LinkedIn,71603,39,7513.25,1
341,Instagram,18045,36,948.36,1
2141,Facebook,41741,13,5777.53,1
2924,Google,89306,18,3847.93,0
2712,LinkedIn,43770,17,4957.73,1
1463,LinkedIn,8887,37,3613.7,1
1578,Instagram,99718,36,6068.33,1
2656,TikTok,98906,23,6546.77,1
875,Facebook,25918,34,2661.3,1
4114,Instagram,36497,20,4992.56,0
